# Configuration
# N_FOLDS,4
# EPOCHS_PER_TRIAL,5
# EARLY_STOPPING_PATIENCE,3
# INITIAL_POINTS,10
# BO_ITERATIONS,5
# BO_CANDIDATES,100
# BATCH_SIZE,512
# NUM_FILTERS,32
# KERNEL_SIZE,5
# NUM_UNITS,32
# LEARNING_RATE_MIN,0.0001
# LEARNING_RATE_MAX,0.05
# MANUAL_SEEDS,"[1, 4, 9, 12, 13, 14, 16, 17, 19, 21, 31, 35, 37, 38, 42, 45, 48, 51, 52, 55, 58, 60, 64, 66, 69, 80, 123, 256, 2048, 3651]"
seed,optimizer,best_accuracy,accuracy_std,best_learning_rate,best_final_loss,total_trials
1,SGD,0.8018333333333334,0.012634828407576003,0.03487122625834602,0.5481675565242767,15
1,Adam,0.8274999999999999,0.008581310441237338,0.009512976367670012,0.4827093349562751,15
1,RMSProp,0.788,0.008445906306213282,0.0012142883567911283,0.5986234065559175,15
1,AdaGrad,0.8006666666666666,0.013123346456686332,0.012476874563023812,0.6136820879247453,15
1,Adadelta,0.7048333333333334,0.0045061686115319575,0.04220763740366632,1.2420357498857708,15
1,AdamW,0.8280000000000001,0.007149203529842421,0.009512976367670012,0.4828543323609564,15
1,Adamax,0.8155000000000001,0.017853571071357134,0.01027492063913278,0.533139510287179,15
1,ASGD,0.7155000000000001,0.018775723096002925,0.037292188102234454,0.9195846517880757,15
1,NAdam,0.8146666666666667,0.009380831519646868,0.007423118951773941,0.5504110894269414,15
1,RAdam,0.8321666666666667,0.01169401556352652,0.03454237062132112,0.4623162721594175,15
1,Rprop,0.8486666666666667,0.01319090595827293,0.038631683674208016,0.34853603194157284,15
4,SGD,0.8103333333333332,0.010126971687308878,0.04538236423008196,0.5408479455444548,15
4,Adam,0.8301666666666667,0.008398081791562744,0.006824155089388686,0.4660623619953791,15
4,RMSProp,0.7878333333333334,0.015580436450882897,0.0005484062736109937,0.6388872588674227,15
4,AdaGrad,0.8025000000000001,0.012068093838253352,0.016555130358508696,0.6202522599034839,15
4,Adadelta,0.7196666666666667,0.006741249472052205,0.04919988921656729,1.1462725897630055,15
4,AdamW,0.831,0.007340905181848433,0.006824155089388686,0.4656524550583627,15
4,Adamax,0.8215,0.019857128582842914,0.009800505356681713,0.510905898279614,15
4,ASGD,0.7251666666666667,0.0076358074593035515,0.024156682567703484,1.0459263804886076,15
4,NAdam,0.8095,0.014309088021254199,0.014986517094920378,0.5461070918374592,15
4,RAdam,0.8416666666666667,0.005916079783099623,0.04835478896678247,0.42646729697783786,15
4,Rprop,0.8491666666666667,0.0024664414311581276,0.0357693180843508,0.3330158938964208,15
9,SGD,0.8085,0.007679337355672189,0.04145618199225377,0.5447051947315534,15
9,Adam,0.8360000000000001,0.008524474568362961,0.006778093495067901,0.4596969675686624,15
9,RMSProp,0.7859999999999999,0.009603240193925281,0.001035118127029745,0.6313290529780918,15
9,AdaGrad,0.8043333333333333,0.006209312003399048,0.01370193230550019,0.5771972777114974,15
9,Adadelta,0.7233333333333334,0.007615773105863879,0.04590852024406587,1.1191161606046889,15
9,AdamW,0.8421666666666666,0.006772083217970011,0.007065683193477548,0.42488716377152336,15
9,Adamax,0.8256666666666667,0.009410396142328744,0.012752878062273945,0.49984157168202936,15
9,ASGD,0.7215,0.016702461561764536,0.04949063306984801,0.8784510725074345,15
9,NAdam,0.8116666666666668,0.007371114795831964,0.011187819180646076,0.519194489551915,15
9,RAdam,0.843,0.0071414284285428575,0.0491696264863942,0.4232450798153877,15
9,Rprop,0.8456666666666667,0.009243616415908042,0.025143542148222064,0.3720917089117898,15
12,SGD,0.8113333333333332,0.012866839377079178,0.042448740878517806,0.533752613597446,15
12,Adam,0.8285,0.008836477427874375,0.0017677292385545951,0.4784543630149629,15
12,RMSProp,0.7958333333333333,0.021277922830953228,0.0017677292385545951,0.6077946126461029,15
12,AdaGrad,0.7993333333333333,0.006289320754704416,0.01323941925773822,0.5895560019546084,15
12,Adadelta,0.715,0.007895146188218013,0.043741914455999516,1.184847285350164,15
12,AdamW,0.8278333333333333,0.008490190417966679,0.0017677292385545951,0.4787258439593845,15
12,Adamax,0.824,0.0074087035902976085,0.01323941925773822,0.49745708621210516,15
12,ASGD,0.7243333333333334,0.024951063214932453,0.04852048114923494,0.8971476157506306,15
12,NAdam,0.8003333333333333,0.016428295373802134,0.007792725834745651,0.552035927772522,15
12,RAdam,0.8423333333333334,0.009012337223063842,0.0370284798561187,0.4411649430791537,15
12,Rprop,0.8544999999999999,0.006706133179576919,0.045945475704184266,0.33485905743307537,15
13,SGD,0.8174999999999999,0.006452820227535282,0.049248429039280305,0.5286296928922335,15
13,Adam,0.8093333333333333,0.013719410418171119,0.016780983793793076,0.5075482784046067,15
13,RMSProp,0.7823333333333333,0.00849182613523798,0.0005912874959044573,0.6445903562837176,15
13,AdaGrad,0.7971666666666667,0.008224286527650245,0.01787963611927627,0.653968408703804,15
13,Adadelta,0.7155,0.015679958900172902,0.048331316634800545,1.149144364727868,15
13,AdamW,0.8048333333333334,0.013681902076993683,0.016780983793793076,0.5095120130313767,15
13,Adamax,0.8195,0.011169153951844332,0.014167893939438818,0.522448090215524,15
13,ASGD,0.7204999999999999,0.017872231720371848,0.03890735028763363,0.8899080985122256,15
13,NAdam,0.8128333333333333,0.014532530558868417,0.011063058799488915,0.5156223136517737,15
13,RAdam,0.8436666666666667,0.0048189440982669704,0.044419732400841225,0.435325649049547,15
13,Rprop,0.8451666666666666,0.007907450776184313,0.04829088498234569,0.3506120642026266,15
14,SGD,0.8048333333333333,0.008264717512144944,0.043534341517668156,0.5559703682859739,15
14,Adam,0.8251666666666666,0.015350533830746365,0.009864950961260254,0.46192376481162173,15
14,RMSProp,0.78,0.007644896627453156,0.003211267444275472,0.6928985118865967,15
14,AdaGrad,0.7991666666666667,0.011018923117377033,0.03963184532054095,0.5979001397887866,15
14,Adadelta,0.7203333333333334,0.011948965552623285,0.04670566878385243,1.1508714490466647,15
14,AdamW,0.8248333333333334,0.017859793454075054,0.009864950961260254,0.462016847398546,15
14,Adamax,0.8130000000000001,0.01787300882460604,0.011250881376713389,0.524854155878226,15
14,ASGD,0.724,0.009933109617167538,0.04788442659435796,0.8345912777715259,15
14,NAdam,0.8095,0.016635804759614133,0.006740894163949184,0.5342023306422763,15
14,RAdam,0.8413333333333333,0.005887840577551903,0.047279676207044215,0.4144208108385404,15
14,Rprop,0.8481666666666666,0.007123903424387497,0.02700607687753984,0.34465903292099637,15
16,SGD,0.8161666666666667,0.005257270098529147,0.04980471787411679,0.5330464682645268,15
16,Adam,0.8286666666666667,0.008178562764256875,0.0023755373116270354,0.4673697062664562,15
16,RMSProp,0.7863333333333333,0.011967548714010835,0.0006727987946327244,0.6422684805260764,15
16,AdaGrad,0.7933333333333333,0.008124038404635965,0.011231738990395309,0.6271777285469904,15
16,Adadelta,0.7266666666666666,0.013670731102939915,0.04980471787411679,1.1136600408289168,15
16,AdamW,0.8276666666666668,0.008711422896914659,0.0023755373116270354,0.4674670696258545,15
16,Adamax,0.8111666666666667,0.008581310441237323,0.011231738990395309,0.5340418393413225,15
16,ASGD,0.7156666666666667,0.016306099744846685,0.022658721580181392,1.0612728380494647,15
16,NAdam,0.8038333333333333,0.021183720164314877,0.004812420656676134,0.5640220700038804,15
16,RAdam,0.8428333333333333,0.005236092690801647,0.04980471787411679,0.44164123055007726,15
16,Rprop,0.8475,0.007935503904744937,0.026205850735893738,0.34450122631258434,15
17,SGD,0.8146666666666667,0.008082903768654741,0.04545882707636687,0.5242367212971052,15
17,Adam,0.835,0.010857664983268218,0.005128182107556707,0.4485941024290191,15
17,RMSProp,0.7905,0.01358410018285266,0.0020492395178244374,0.5857828640275532,15
17,AdaGrad,0.7911666666666668,0.015814023312659322,0.028822584398276396,0.653787127799458,15
17,Adadelta,0.718,0.010561986345169897,0.046459342760449863,1.1277683873971303,15
17,AdamW,0.8415,0.007635807459303551,0.005240797044034984,0.42922576682435143,15
17,Adamax,0.822,0.02360320128946732,0.007944756167453835,0.49314551966057885,15
17,ASGD,0.7123333333333333,0.018740923729160794,0.049341846761518156,0.8618979487154219,15
17,NAdam,0.8173333333333334,0.008055363982396362,0.005857575517420915,0.5357862843407525,15
17,RAdam,0.8430000000000001,0.006968181653455615,0.04940153241241418,0.4195363521575927,15
17,Rprop,0.8494999999999999,0.012895951130318214,0.03426644115018107,0.33686398963133496,15
19,SGD,0.8136666666666666,0.014617341299520435,0.04913882153575628,0.5112290167146258,15
19,Adam,0.8343333333333333,0.010071963286492104,0.004241678293843955,0.4228210432661904,15
19,RMSProp,0.774,0.0009428090415820773,0.004580175276974672,0.6616723421547148,15
19,AdaGrad,0.7921666666666667,0.008398081791562742,0.012422204860999719,0.6065209574169583,15
19,Adadelta,0.7166666666666666,0.005676462121975454,0.04465878620484321,1.1836135188738506,15
19,AdamW,0.8336666666666667,0.009363047936792117,0.004241678293843955,0.4230222346054183,15
19,Adamax,0.8255,0.019075143803156804,0.004241678293843955,0.4922446293963326,15
19,ASGD,0.7193333333333333,0.009273618495495704,0.02167305927901273,1.095358391602834,15
19,NAdam,0.8135,0.017928097128994677,0.013710010763121434,0.5474324201544126,15
19,RAdam,0.8440000000000001,0.00620035841257942,0.04984595985726876,0.4376058205962181,15
19,Rprop,0.8491666666666667,0.00401040313850534,0.040349030528266716,0.3464551079604361,15
21,SGD,0.8091666666666666,0.0026404965862924503,0.036981525476506065,0.5416097334689565,15
21,Adam,0.8346666666666666,0.011981467170407652,0.0071316039377882605,0.45418811589479446,15
21,RMSProp,0.787,0.00438431547932199,0.0025313715523754515,0.6664824469221963,15
21,AdaGrad,0.7953333333333333,0.005676462121975454,0.01452657202351186,0.6197711146540111,15
21,Adadelta,0.7168333333333334,0.002229848026709935,0.049741143688231,1.1295885576142206,15
